ID,Brand,Name,Fragrance Type,Notes,size,Price
056,Giorgio Armani,Acqua di Gioia,Eau de Parfum,"Lemon, Jasmine, Cedarwood, Labdanum",Travel,36
057,Giorgio Armani,My Way,Eau de Parfum,"Bergamot, Orange Blossom, Tuberose, Jasmine, Cedarwood, Vanilla, Musk",Sample,
058,Giorgio Armani,Power of You,Eau de Parfum,"Passionfruit, Frangipani, Vanilla",Full,105
059,Gisou,Wildflower Honey,Body Mist,"Honey, Wildflowers",Travel,25
060,Glossier,You,Eau de Parfum,"Pink Pepper, Iris, Amber",Full,82
061,Gucci,Flora Gorgeous Gardenia,Eau de Parfum,"Pear, Gardenia, Jasmine, Brown Sugar, Patchouli",Sample,
062,Henry Rose,Sheep’s Clothing,Eau de Parfum,"Pink Peppercorn, Rose, Orange Flower, Orris, Amber, Wood, Musk",Full,120
063,Heretic,Dirty Coconut,Eau de Parfum,"Cedarwood, Vanilla, Coconut, Sandalwood, Amber",Travel,16
064,Heretic,Dirty Peach,Eau de Parfum,"Orange, Mandarin,  Grapefruit, Ylang-ylang, Strawberry, Jasmine, Black Currant, Peach, Violet, Vetiver",Travel,16
065,Jo Malone,English Pear & Freesia,Cologne,"Pear, Freesia, Patchouli",Sample,
066,Jo Malone,Ginger Biscuit,Cologne,"Ginger, Cinnamon, Hazelnut, Tonka, Vanilla",Travel,25
067,Jo Malone,Orange Bitters,Cologne,"Orange, Bitters, Prune, Sandalwood, Amber",Travel,25
068,Juicy Couture,Viva La Juicy,Eau de Parfum,"Wild Berries, Mandarin, Honeysuckle, Gardenia, Jasmine, Amber, Caramel, Vanilla, Sandalwood, Praline",Full,43
069,Juliette Has a Gun,Mmmm…,Eau de Parfum,"Neroli, Raspberry, Geranium, Orange Blossom, Jasmine, Tuberose, Iris, Sandalwood, Patchouli, Salicylate",Travel,16
070,Juliette Has a Gun,Moscow Mule,Eau de Parfum,"Ginger, Lime, Bergamot, Apple, Amber, Sandalwood, Iso E Super, Amber, Norlimbanol",Travel,16
071,Juliette Has a Gun,Not a Perfume,Eau de Parfum,Cetalox,Travel,0
072,Juliette Has a Gun,Pear Inc.,Eau de Parfum,"Pear, Cetalox, Musk",Travel,16
073,Juliette Has a Gun,Vanilla Vibes,Eau de Parfum,"Salt, Vanilla, Orchid, Musk, Benzoin, Sandalwood, Tonka",Travel,16
074,Kayali,Vanilla 28,Eau de Parfum,"Vanilla, Brown Sugar, Tonka, Amber, Wood, Musk",Travel,32
075,Kuumba,Creamy Coconut,Fragrance Oil,"Coconut, Vanilla, Blood Orange, Almond, Sugar, Mango",Full,9.99
076,Lake & Skye,11:11,Fragrance Oil,"Ozonic, Amber, Wood, Cyclamen, Marine, Musk",Travel,10
077,Lake & Skye,Echo Lake,Eau de Parfum,"Bergamot, Juniper Berries, Sandalwood",Full,98
