Date,ID
2025-08-28,014
2025-08-29,158
2025-08-30,008
2025-09-01,183
2025-09-01,004
2025-09-02,097
2025-09-03,003
2025-09-03,124
2025-09-04,005
2025-09-04,035
2025-09-05,014
2025-09-08,023
2025-09-09,178
2025-09-10,104
2025-09-11,059
2025-09-12,129
2025-09-12,104
2025-09-12,073
2025-09-14,127
2025-09-15,023
2025-09-16,004
2025-09-17,025
2025-09-18,035
2025-09-19,023
2025-09-20,152
2025-09-23,025
2025-09-27,151
2025-09-28,164
2025-09-29,150
2025-09-30,164
2025-10-06,023
2025-10-07,178
2025-10-08,178
2025-10-09,014
2025-10-10,135
2025-10-11,084
2025-10-13,104
2025-10-14,007
2025-10-14,033
2025-10-15,193
2025-10-18,178
2025-10-19,159
2025-10-20,109
2025-10-22,084
2025-10-24,133
2025-10-25,087
2025-10-25,074
2025-10-26,009
2025-10-27,087
2025-10-28,092
2025-10-28,081
2025-10-29,004
2025-10-30,159
2025-10-31,157
2025-11-03,023
2025-11-03,140
2025-11-04,009
2025-11-05,178
2025-11-05,146
2025-11-06,164
2025-11-07,154
2025-11-08,190
2025-11-09,033
2025-11-10,004
2025-11-11,084
2025-11-12,023
2025-11-13,087
2025-11-14,157
2025-11-17,157
2025-11-18,004
2025-11-19,115
2025-11-20,133
2025-11-21,133
2025-11-22,023
2025-11-22,046
2025-11-23,178
2025-11-23,046
2025-11-24,084
2025-11-25,046
2025-11-25,023
2025-12-02,178
2025-12-03,004
2025-12-08,004
2025-12-24,191
2025-12-25,095
2025-12-25,060
2026-01-03,191
2026-01-12,046
2026-01-13,004
2026-01-14,179
2026-01-14,060
2026-01-15,060
2026-01-16,178
2026-01-18,060
2026-01-19,129
2026-01-21,159
2026-01-21,144
2026-01-22,109
2026-01-23,083
2026-01-26,023
2026-01-26,095
2026-01-27,143
2026-02-01,120
2026-02-02,149
2026-02-02,115
2026-02-03,104
2026-02-05,095
2026-02-05,149
2026-02-06,084
2026-02-11,060
2026-02-13,046
2026-02-14,173
2026-02-15,143
2026-02-16,183
2026-02-16,182
2026-02-18,182
2026-02-19,146
2026-02-20,025
2026-02-21,179
2026-02-22,187
2026-02-23,160
2026-02-24,133
2026-02-25,149
2026-02-26,004
2026-02-27,033
2026-02-28,173
2026-03-02,089
2026-03-03,104
2026-03-05,121
2026-03-06,134
2026-03-07,060
2026-03-08,025
2026-03-09,178
2026-03-10,134
2026-03-11,184
2026-03-12,025
2026-03-13,060
2026-03-13,023
2026-03-14,059
2026-03-15,191
2026-03-17,172
2026-03-18,104
2026-03-19,100
2026-03-20,100
2026-03-21,062
2026-03-22,176
2026-03-23,023
2026-03-24,178
2026-03-25,025
2026-03-26,014
2026-03-27,127
2026-03-28,131
2026-03-29,014
2026-03-30,082
2026-03-31,164
2026-03-31,173
2026-04-01,137
2026-04-03,049
2026-04-04,174
2026-04-04,049
2026-04-05,082
2026-04-06,060
2026-04-07,023
2026-04-08,012
